id,score,mae_cursor_position,down_time_min,down_time_max,down_time_median,down_time_mean,down_time_std,up_time_min,up_time_max,up_time_median,up_time_mean,up_time_std,action_time_min,action_time_max,action_time_median,action_time_mean,action_time_std,word_count_min,word_count_max,word_count_median,word_count_mean,word_count_std,activity_input,activity_movefrom,activity_nonproduction,activity_paste,activity_removecut,activity_replace,down_event_alphanumeric,down_event_control_keys,down_event_special_character,down_event_unknown,text_change_many_q,text_change_many_q_to_many_q,text_change_many_q_to_not_q,text_change_many_q_to_single_q,text_change_nochange,text_change_not_q,text_change_not_q_to_many_q,text_change_not_q_to_not_q,text_change_not_q_to_single_q,text_change_single_q,text_change_single_q_to_many_q,text_change_single_q_to_not_q,text_change_single_q_to_single_q,text_change_unknown
001519c8,3.5,527.0469299960891,4526,1801877,891716.0,848180.7719984357,395112.66596083215,4557,1801969,891802.0,848297.0187719985,395105.68565532897,0,2259,112.0,116.24677356276887,91.7973743446592,0,256,132.0,128.11615174032067,76.49837239600791,0.7860774344935472,0.0011732499022291747,0.046929996089166995,0.0,0.1630817364098553,0.002737583105201408,0.6331638639030114,0.3523660539694955,0.014470082127493155,0.0,0.0007821666014861165,0.0,0.00039108330074305825,0.0023464998044583495,0.046929996089166995,0.19084865076261243,0.0,0.0,0.0,0.758701603441533,0.0,0.0,0.0,0
0022f953,3.5,380.7746536267319,30623,1788842,407673.0,518855.347595762,384959.4041770636,30853,1788969,407789.0,518967.56886715564,384952.7287962653,0,1758,115.0,112.22127139364304,55.43118918498115,0,323,186.0,182.71475142624286,97.76309027760496,0.7897310513447433,0.0,0.10350448247758762,0.00040749796251018743,0.10594947025264874,0.00040749796251018743,0.6071719641401793,0.3712306438467808,0.021597392013039934,0.0,0.0,0.0,0.0,0.00040749796251018743,0.10350448247758762,0.2041564792176039,0.0,0.0,0.0,0.6919315403422983,0.0,0.0,0.0,0
0042269b,6.0,1238.7553191489362,4441,1771219,759582.0,828491.7751450677,489500.7965653484,4540,1771669,759674.5,828593.6129110252,489500.4387835343,0,3005,94.0,101.8377659574468,82.38376611454355,0,404,193.0,194.77272727272728,108.93506753663294,0.8498549323017408,0.0,0.04231141199226306,0.0,0.1061411992263056,0.0016924564796905223,0.7021276595744681,0.28602514506769827,0.011847195357833656,0.0,0.0007253384912959381,0.0,0.0,0.0016924564796905223,0.04231141199226306,0.16779497098646035,0.0,0.0,0.0,0.7874758220502901,0.0,0.0,0.0,0
0059420b,2.0,152.39331619537276,41395,1404394,848240.5,785483.0263496144,385205.01439878665,41513,1404469,848405.5,785604.8746786632,385206.08125025616,0,806,110.0,121.84832904884318,113.76822550901367,0,206,108.5,103.61889460154242,61.882249996500704,0.8380462724935732,0.0,0.06362467866323908,0.0006426735218508997,0.09704370179948586,0.0006426735218508997,0.6709511568123393,0.31555269922879176,0.013496143958868894,0.0,0.0006426735218508997,0.0,0.0006426735218508997,0.0,0.06362467866323908,0.198586118251928,0.0,0.0,0.0,0.7365038560411311,0.0,0.0,0.0,0
0075873a,4.0,640.1615962070327,78470,1662390,686588.0,713354.1975503754,405576.4090338523,78693,1662472,686728.0,713478.1414460688,405575.6317459898,0,701,129.0,123.94389569340181,62.082012674388594,0,252,113.0,125.0829711576452,77.2550536256005,0.7672856578427499,0.0,0.028447254049782694,0.0,0.2042670881074674,0.0,0.608850256815488,0.3646779928881865,0.026471750296325564,0.0,0.0,0.0,0.0,0.0,0.028447254049782694,0.19557487159225603,0.0,0.0,0.0,0.7759778743579613,0.0,0.0,0.0,0
0081af50,2.0,423.87064676616916,42636,1778845,378996.0,544339.1913161465,484650.5779748612,42744,1778916,379095.0,544420.5956580733,484649.6723054766,0,1102,77.0,81.40434192672998,40.65305428584797,0,275,134.0,132.94255992763456,81.20882445728046,0.8113975576662144,0.0,0.034373586612392586,0.0,0.15287200361827227,0.0013568521031207597,0.6562641338760742,0.33649932157394846,0.007236544549977386,0.0,0.0004522840343735866,0.0,0.0,0.0013568521031207597,0.034373586612392586,0.18046132971506107,0.0,0.0,0.0,0.783355947535052,0.0,0.0,0.0,0
0093f095,4.5,176.2169971671388,6572,1768065,331472.0,354314.4577903683,242048.21674987816,6810,1768197,331553.0,354424.1756373938,242044.56086982507,0,501,110.0,109.71784702549576,37.01833130362483,0,242,116.0,119.671388101983,72.38823351966136,0.8968838526912182,0.0,0.019263456090651557,0.0,0.08385269121813031,0.0,0.7342776203966006,0.2509915014164306,0.014730878186968839,0.0,0.0,0.0,0.0,0.0,0.019263456090651557,0.17393767705382437,0.0,0.0,0.0,0.806798866855524,0.0,0.0,0.0,0
009e23ab,4.0,321.4543136421589,106549,1799221,452862.0,487666.2923926902,279593.81068045687,106650,1799303,452938.0,487757.0480237994,279591.2745827165,0,803,91.0,90.75563110922226,41.934951692134895,0,308,144.0,154.29706757331067,93.48678321080847,0.8393540161495963,0.0,0.06587335316617085,0.0,0.09434764130896728,0.00042498937526561835,0.6629834254143646,0.319592010199745,0.017424564385890354,0.0,0.0,0.0,0.0,0.0,0.06587335316617085,0.20526986825329366,0.0,0.0,0.00042498937526561835,0.7284317892052699,0.0,0.0,0.0,0
00e048f1,3.5,108.15520504731862,5273,1797305,816998.0,837617.3495268138,345748.10795061797,5397,1797498,817059.0,837692.3608832808,345747.1395299131,0,613,69.0,75.01135646687698,33.244614848179324,0,223,118.0,114.76277602523659,66.91791105953358,0.8996845425867508,0.0,0.025867507886435333,0.0,0.07444794952681388,0.0,0.7242902208201892,0.2580441640378549,0.017665615141955835,0.0,0.0,0.0,0.0,0.0,0.025867507886435333,0.19179810725552052,0.0,0.0,0.0,0.7823343848580442,0.0,0.0,0.0,0
00e1f05a,4.5,2031.209685663174,10731,1853533,888236.0,884357.5039611551,493354.2178517588,10801,1853697,888300.0,884450.8471760798,493357.5828820048,0,11017,71.0,93.34321492461028,198.89668971322038,0,739,416.0,364.3521594684385,207.108616978256,0.7852031689240991,0.0,0.029133657040633785,0.0,0.18476871965244057,0.0008944543828264759,0.6323792486583184,0.3527983644262714,0.014822386915410171,0.0,0.0011500127779197546,0.0005111167901865576,0.0,0.00038333759263991824,0.029133657040633785,0.19026322514694607,0.0,0.0,0.0,0.778558650651674,0.0,0.0,0.0,0
